营业流水号,结算流水号,客位名称,牌号,备注,桌号,就餐人数,应收金额,优惠金额,实收金额,操作pos,操作员,结算时间,开票标志,打印次数,hour
YY000101-251214-0029,JS000101-251214-0028,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-14 12:40:31,否,1,12
YY000101-251214-0027,JS000101-251214-0026,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-14 12:17:03,否,1,12
YY000101-251214-0026,JS000101-251214-0025,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-14 12:15:19,否,1,12
YY000101-251214-0024,JS000101-251214-0024,外卖区域.WM客位204262,,,,1,41.4,0.0,41.4,收银pos,001-收银,2025-12-14 12:07:12,否,1,12
YY000101-251214-0023,JS000101-251214-0023,外卖区域.WM客位204262,,,,1,45.7,0.0,45.7,收银pos,001-收银,2025-12-14 12:02:26,否,1,12
YY000101-251214-0022,JS000101-251214-0022,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-14 11:57:45,否,1,11
YY000101-251214-0021,JS000101-251214-0021,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-14 11:56:57,否,1,11
YY000101-251214-0020,JS000101-251214-0020,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-14 11:55:03,否,1,11
YY000101-251214-0019,JS000101-251214-0019,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-14 11:53:05,否,1,11
YY000101-251214-0017,JS000101-251214-0017,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-14 11:49:53,否,1,11
YY000101-251214-0016,JS000101-251214-0016,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-14 11:48:55,否,1,11
YY000101-251214-0015,JS000101-251214-0015,外卖区域.WM客位204262,,,,1,39.8,0.0,39.8,收银pos,001-收银,2025-12-14 11:47:56,否,1,11
YY000101-251214-0014,JS000101-251214-0014,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-14 11:45:47,否,1,11
YY000101-251214-0013,JS000101-251214-0013,外卖区域.WM客位204262,,,,1,49.7,0.0,49.7,收银pos,001-收银,2025-12-14 11:32:12,否,1,11
YY000101-251214-0012,JS000101-251214-0012,外卖区域.WM客位204262,,,,1,50.2,0.0,50.2,收银pos,001-收银,2025-12-14 11:31:59,否,1,11
YY000101-251214-0011,JS000101-251214-0011,外卖区域.WM客位204262,,,,1,36.6,0.0,36.6,收银pos,001-收银,2025-12-14 11:29:30,否,1,11
YY000101-251214-0010,JS000101-251214-0010,外卖区域.WM客位204262,,,,1,43.7,0.0,43.7,收银pos,001-收银,2025-12-14 11:17:04,否,1,11
YY000101-251214-0009,JS000101-251214-0009,外卖区域.WM客位204262,,,,1,39.6,0.0,39.6,收银pos,001-收银,2025-12-14 11:11:08,否,1,11
YY000101-251214-0008,JS000101-251214-0008,外卖区域.WM客位204262,,,,1,41.7,0.0,41.7,收银pos,001-收银,2025-12-14 11:09:10,否,1,11
YY000101-251214-0006,JS000101-251214-0006,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-14 10:57:48,否,1,10
YY000101-251214-0005,JS000101-251214-0005,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-14 10:55:03,否,1,10
YY000101-251214-0004,JS000101-251214-0004,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-14 10:50:52,否,1,10
YY000101-251214-0003,JS000101-251214-0003,外卖区域.WM客位204262,,,,1,40.7,0.0,40.7,收银pos,001-收银,2025-12-14 10:48:03,否,1,10
YY000101-251214-0002,JS000101-251214-0002,外卖区域.WM客位204262,,,,1,46.3,0.0,46.3,收银pos,001-收银,2025-12-14 10:34:31,否,1,10
YY000101-251214-0001,JS000101-251214-0001,外卖区域.WM客位204262,,,,1,39.7,0.0,39.7,收银pos,001-收银,2025-12-14 10:07:24,否,1,10
YY000101-251213-0110,JS000101-251213-0110,大厅.A08,,,,4,274.0,46.4,227.6,收银pos,001-收银,2025-12-13 21:42:57,否,0,21
YY000101-251213-0108,JS000101-251213-0109,大厅.A03,,,,3,175.0,0.0,175.0,收银pos,001-收银,2025-12-13 21:19:58,否,0,21
YY000101-251213-0109,JS000101-251213-0108,大厅.A10,,,,2,12.0,0.0,12.0,收银pos,001-收银,2025-12-13 21:17:00,否,0,21
YY000101-251213-0107,JS000101-251213-0107,大厅.A10,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-13 20:52:52,否,0,20
YY000101-251213-0104,JS000101-251213-0106,大厅.A06,,,,2,26.0,13.0,13.0,收银pos,001-收银,2025-12-13 20:34:09,否,0,20
YY000101-251213-0102,JS000101-251213-0100,大厅.A10,,,,2,186.0,0.0,186.0,收银pos,001-收银,2025-12-13 20:15:30,否,0,20
YY000101-251213-0086,JS000101-251213-0086,大厅.A03,,,,2,239.0,0.0,239.0,收银pos,001-收银,2025-12-13 19:51:38,否,0,19
YY000101-251213-0100,JS000101-251213-0099,大厅.A04,,,,2,128.0,0.0,128.0,收银pos,001-收银,2025-12-13 19:48:49,否,0,19
YY000101-251213-0099,JS000101-251213-0104,大厅.A02,,,,3,319.0,57.8,261.2,收银pos,001-收银,2025-12-13 19:40:50,否,0,19
YY000101-251213-0101,JS000101-251213-0103,大厅.A09,,,,2,212.0,0.0,212.0,收银pos,001-收银,2025-12-13 19:40:00,否,0,19
YY000101-251213-0105,JS000101-251213-0102,外卖区域.WM客位204262,,,,1,77.6,0.0,77.6,收银pos,001-收银,2025-12-13 19:27:52,否,1,19
YY000101-251213-0103,JS000101-251213-0101,大厅.A06,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-13 19:19:19,否,0,19
YY000101-251213-0092,JS000101-251213-0092,大厅.A06,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-13 19:15:11,否,0,19
YY000101-251213-0091,JS000101-251213-0090,大厅.A05,,,,2,393.0,0.0,393.0,收银pos,001-收银,2025-12-13 18:47:57,否,0,18
YY000101-251213-0098,JS000101-251213-0098,外卖区域.WM客位204262,,,,1,20.0,0.0,20.0,收银pos,001-收银,2025-12-13 18:33:35,否,1,18
YY000101-251213-0097,JS000101-251213-0097,外卖区域.WM客位204262,,,,1,46.3,0.0,46.3,收银pos,001-收银,2025-12-13 18:33:12,否,1,18
YY000101-251213-0096,JS000101-251213-0096,外卖区域.WM客位204262,,,,1,42.7,0.0,42.7,收银pos,001-收银,2025-12-13 18:28:16,否,1,18
YY000101-251213-0095,JS000101-251213-0095,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-13 18:25:46,否,1,18
YY000101-251213-0094,JS000101-251213-0094,外卖区域.WM客位204262,,,,1,44.6,0.0,44.6,收银pos,001-收银,2025-12-13 18:20:45,否,1,18
YY000101-251213-0089,JS000101-251213-0091,大厅.A11,,,,1,24.0,0.0,24.0,收银pos,001-收银,2025-12-13 18:02:16,否,0,18
YY000101-251213-0090,JS000101-251213-0089,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 17:53:51,否,1,17
YY000101-251213-0088,JS000101-251213-0088,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-13 17:43:52,否,1,17
YY000101-251213-0087,JS000101-251213-0087,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-13 17:43:44,否,1,17
YY000101-251213-0085,JS000101-251213-0085,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-13 17:30:58,否,1,17
YY000101-251213-0084,JS000101-251213-0084,外卖区域.WM客位204262,,,,1,41.7,0.0,41.7,收银pos,001-收银,2025-12-13 17:25:32,否,1,17
YY000101-251213-0083,JS000101-251213-0083,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 17:13:36,否,1,17
YY000101-251213-0082,JS000101-251213-0082,外卖区域.WM客位204262,,,,1,36.6,0.0,36.6,收银pos,001-收银,2025-12-13 17:10:15,否,1,17
YY000101-251213-0081,JS000101-251213-0081,外卖区域.WM客位204262,,,,1,37.7,0.0,37.7,收银pos,001-收银,2025-12-13 16:27:41,否,1,16
YY000101-251213-0080,JS000101-251213-0080,外卖区域.WM客位204262,,,,1,59.3,0.0,59.3,收银pos,001-收银,2025-12-13 16:09:21,否,1,16
YY000101-251213-0076,JS000101-251213-0079,大厅.A08,,,,5,371.0,74.2,296.8,收银pos,001-收银,2025-12-13 15:40:46,否,0,15
YY000101-251213-0078,JS000101-251213-0077,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-13 15:05:39,否,1,15
YY000101-251213-0077,JS000101-251213-0076,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-13 15:03:15,否,1,15
YY000101-251213-0068,JS000101-251213-0075,大厅.A03,,,,1,99.0,19.8,79.2,收银pos,001-收银,2025-12-13 14:57:26,否,0,14
YY000101-251213-0075,JS000101-251213-0074,外卖区域.WM客位204262,,,,1,34.7,0.0,34.7,收银pos,001-收银,2025-12-13 14:53:57,否,1,14
YY000101-251213-0074,JS000101-251213-0073,外卖区域.WM客位204262,,,,1,52.6,0.0,52.6,收银pos,001-收银,2025-12-13 14:53:34,否,1,14
YY000101-251213-0073,JS000101-251213-0072,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-13 14:49:33,否,1,14
YY000101-251213-0071,JS000101-251213-0070,外卖区域.WM客位204262,,,,1,63.3,0.0,63.3,收银pos,001-收银,2025-12-13 14:47:43,否,1,14
YY000101-251213-0070,JS000101-251213-0069,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-13 14:40:10,否,1,14
YY000101-251213-0069,JS000101-251213-0068,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 14:37:25,否,1,14
YY000101-251213-0067,JS000101-251213-0067,外卖区域.WM客位204262,,,,1,48.7,0.0,48.7,收银pos,001-收银,2025-12-13 14:02:36,否,1,14
YY000101-251213-0066,JS000101-251213-0066,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 14:00:52,否,1,14
YY000101-251213-0065,JS000101-251213-0065,外卖区域.WM客位204262,,,,1,32.7,0.0,32.7,收银pos,001-收银,2025-12-13 13:50:03,否,1,13
YY000101-251213-0064,JS000101-251213-0064,外卖区域.WM客位204262,,,,1,41.7,0.0,41.7,收银pos,001-收银,2025-12-13 13:45:10,否,1,13
YY000101-251213-0063,JS000101-251213-0063,外卖区域.WM客位204262,,,,1,36.7,0.0,36.7,收银pos,001-收银,2025-12-13 13:42:41,否,1,13
YY000101-251213-0062,JS000101-251213-0062,外卖区域.WM客位204262,,,,1,40.8,0.0,40.8,收银pos,001-收银,2025-12-13 13:36:14,否,1,13
YY000101-251213-0061,JS000101-251213-0061,外卖区域.WM客位204262,,,,1,69.6,0.0,69.6,收银pos,001-收银,2025-12-13 13:22:13,否,1,13
YY000101-251213-0060,JS000101-251213-0060,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-13 13:10:28,否,1,13
YY000101-251213-0059,JS000101-251213-0059,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 13:06:07,否,1,13
YY000101-251213-0058,JS000101-251213-0058,外卖区域.WM客位204262,,,,1,70.1,0.0,70.1,收银pos,001-收银,2025-12-13 13:05:40,否,1,13
YY000101-251213-0057,JS000101-251213-0057,外卖区域.WM客位204262,,,,1,71.3,0.0,71.3,收银pos,001-收银,2025-12-13 13:05:07,否,1,13
YY000101-251213-0056,JS000101-251213-0056,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-13 13:04:34,否,1,13
YY000101-251213-0055,JS000101-251213-0055,外卖区域.WM客位204262,,,,1,64.6,0.0,64.6,收银pos,001-收银,2025-12-13 13:00:43,否,1,13
YY000101-251213-0054,JS000101-251213-0054,外卖区域.WM客位204262,,,,1,38.6,0.0,38.6,收银pos,001-收银,2025-12-13 12:51:35,否,1,12
YY000101-251213-0053,JS000101-251213-0053,外卖区域.WM客位204262,,,,1,66.6,0.0,66.6,收银pos,001-收银,2025-12-13 12:48:09,否,1,12
YY000101-251213-0052,JS000101-251213-0052,大厅.A03,,,,1,22.0,0.0,22.0,收银pos,001-收银,2025-12-13 12:47:58,否,0,12
YY000101-251213-0051,JS000101-251213-0050,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-13 12:41:32,否,1,12
YY000101-251213-0050,JS000101-251213-0049,大厅.A11,,,,1,24.0,0.0,24.0,收银pos,001-收银,2025-12-13 12:36:59,否,0,12
YY000101-251213-0049,JS000101-251213-0048,外卖区域.WM客位204262,,,,1,44.6,0.0,44.6,收银pos,001-收银,2025-12-13 12:32:09,否,1,12
YY000101-251213-0048,JS000101-251213-0047,外卖区域.WM客位204262,,,,1,56.8,0.0,56.8,收银pos,001-收银,2025-12-13 12:30:45,否,1,12
YY000101-251213-0047,JS000101-251213-0046,外卖区域.WM客位204262,,,,1,53.8,0.0,53.8,收银pos,001-收银,2025-12-13 12:30:23,否,1,12
YY000101-251213-0046,JS000101-251213-0045,外卖区域.WM客位204262,,,,1,41.7,0.0,41.7,收银pos,001-收银,2025-12-13 12:29:25,否,1,12
YY000101-251213-0045,JS000101-251213-0044,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 12:28:31,否,1,12
YY000101-251213-0044,JS000101-251213-0043,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-13 12:25:22,否,1,12
YY000101-251213-0043,JS000101-251213-0042,外卖区域.WM客位204262,,,,1,15.0,0.0,15.0,收银pos,001-收银,2025-12-13 12:21:51,否,1,12
YY000101-251213-0042,JS000101-251213-0041,外卖区域.WM客位204262,,,,1,28.8,0.0,28.8,收银pos,001-收银,2025-12-13 12:21:18,否,1,12
YY000101-251213-0040,JS000101-251213-0039,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-13 12:20:12,否,1,12
YY000101-251213-0039,JS000101-251213-0038,外卖区域.WM客位204262,,,,1,44.8,0.0,44.8,收银pos,001-收银,2025-12-13 12:20:11,否,1,12
YY000101-251213-0038,JS000101-251213-0037,外卖区域.WM客位204262,,,,1,56.7,0.0,56.7,收银pos,001-收银,2025-12-13 12:19:38,否,1,12
YY000101-251213-0037,JS000101-251213-0036,外卖区域.WM客位204262,,,,1,22.0,0.0,22.0,收银pos,001-收银,2025-12-13 12:19:21,否,1,12
YY000101-251213-0034,JS000101-251213-0034,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-13 12:06:42,否,1,12
YY000101-251213-0033,JS000101-251213-0033,外卖区域.WM客位204262,,,,1,57.7,0.0,57.7,收银pos,001-收银,2025-12-13 12:06:35,否,1,12
YY000101-251213-0032,JS000101-251213-0032,外卖区域.WM客位204262,,,,1,38.6,0.0,38.6,收银pos,001-收银,2025-12-13 11:57:06,否,1,11
YY000101-251213-0031,JS000101-251213-0031,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 11:56:27,否,1,11
YY000101-251213-0030,JS000101-251213-0030,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-13 11:54:28,否,1,11
YY000101-251213-0029,JS000101-251213-0029,外卖区域.WM客位204262,,,,1,49.8,0.0,49.8,收银pos,001-收银,2025-12-13 11:52:54,否,1,11
YY000101-251213-0028,JS000101-251213-0028,外卖区域.WM客位204262,,,,1,43.8,0.0,43.8,收银pos,001-收银,2025-12-13 11:48:26,否,1,11
YY000101-251213-0027,JS000101-251213-0027,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-13 11:46:36,否,1,11
YY000101-251213-0026,JS000101-251213-0026,外卖区域.WM客位204262,,,,1,37.7,0.0,37.7,收银pos,001-收银,2025-12-13 11:44:38,否,1,11
YY000101-251213-0025,JS000101-251213-0025,外卖区域.WM客位204262,,,,1,40.5,0.0,40.5,收银pos,001-收银,2025-12-13 11:39:52,否,1,11
YY000101-251213-0024,JS000101-251213-0024,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-13 11:36:17,否,1,11
YY000101-251213-0023,JS000101-251213-0023,外卖区域.WM客位204262,,,,1,41.7,0.0,41.7,收银pos,001-收银,2025-12-13 11:35:24,否,1,11
YY000101-251213-0022,JS000101-251213-0022,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-13 11:32:34,否,1,11
YY000101-251213-0021,JS000101-251213-0021,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-13 11:31:46,否,1,11
YY000101-251213-0020,JS000101-251213-0020,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-13 11:30:28,否,1,11
YY000101-251213-0019,JS000101-251213-0019,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-13 11:27:48,否,1,11
YY000101-251213-0018,JS000101-251213-0018,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-13 11:24:33,否,1,11
YY000101-251213-0017,JS000101-251213-0017,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 11:22:29,否,1,11
YY000101-251213-0016,JS000101-251213-0016,外卖区域.WM客位204262,,,,1,50.7,0.0,50.7,收银pos,001-收银,2025-12-13 11:20:05,否,1,11
YY000101-251213-0015,JS000101-251213-0015,外卖区域.WM客位204262,,,,1,47.8,0.0,47.8,收银pos,001-收银,2025-12-13 11:17:01,否,1,11
YY000101-251213-0014,JS000101-251213-0014,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-13 11:14:11,否,1,11
YY000101-251213-0013,JS000101-251213-0013,外卖区域.WM客位204262,,,,1,41.8,0.0,41.8,收银pos,001-收银,2025-12-13 11:11:57,否,1,11
YY000101-251213-0012,JS000101-251213-0012,外卖区域.WM客位204262,,,,1,37.7,0.0,37.7,收银pos,001-收银,2025-12-13 11:09:07,否,1,11
YY000101-251213-0011,JS000101-251213-0011,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 11:08:25,否,1,11
YY000101-251213-0010,JS000101-251213-0010,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-13 11:07:32,否,1,11
YY000101-251213-0008,JS000101-251213-0008,外卖区域.WM客位204262,,,,1,40.2,0.0,40.2,收银pos,001-收银,2025-12-13 11:05:05,否,1,11
YY000101-251213-0007,JS000101-251213-0007,外卖区域.WM客位204262,,,,1,28.8,0.0,28.8,收银pos,001-收银,2025-12-13 11:03:57,否,1,11
YY000101-251213-0006,JS000101-251213-0006,外卖区域.WM客位204262,,,,1,48.7,0.0,48.7,收银pos,001-收银,2025-12-13 11:02:49,否,1,11
YY000101-251213-0005,JS000101-251213-0005,外卖区域.WM客位204262,,,,1,77.6,0.0,77.6,收银pos,001-收银,2025-12-13 10:54:56,否,1,10
YY000101-251213-0004,JS000101-251213-0004,外卖区域.WM客位204262,,,,1,45.6,0.0,45.6,收银pos,001-收银,2025-12-13 10:52:17,否,1,10
YY000101-251213-0003,JS000101-251213-0003,外卖区域.WM客位204262,,,,1,86.6,0.0,86.6,收银pos,001-收银,2025-12-13 10:51:03,否,1,10
YY000101-251213-0002,JS000101-251213-0002,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-13 10:38:08,否,1,10
YY000101-251212-0087,JS000101-251212-0092,大厅.A03,,,,2,256.8,8.0,248.8,收银pos,001-收银,2025-12-12 21:34:17,否,0,21
YY000101-251212-0091,JS000101-251212-0091,大厅.A06,,,,4,82.0,0.0,82.0,收银pos,001-收银,2025-12-12 21:33:54,否,0,21
YY000101-251212-0084,JS000101-251212-0090,大厅.A05,,,,1,116.0,36.0,80.0,收银pos,001-收银,2025-12-12 20:59:03,否,0,20
YY000101-251212-0092,JS000101-251212-0089,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-12 20:54:47,否,1,20
YY000101-251212-0086,JS000101-251212-0088,大厅.A08,,,,2,270.0,0.0,270.0,收银pos,001-收银,2025-12-12 20:38:38,否,1,20
YY000101-251212-0090,JS000101-251212-0087,大厅.A06,,,,4,278.0,0.0,278.0,收银pos,001-收银,2025-12-12 20:23:25,否,0,20
YY000101-251212-0076,JS000101-251212-0086,大厅.A07,,,,3,291.0,0.0,291.0,收银pos,001-收银,2025-12-12 20:22:49,否,0,20
YY000101-251212-0089,JS000101-251212-0085,外卖区域.WM客位204262,,,,1,75.6,0.0,75.6,收银pos,001-收银,2025-12-12 20:15:50,否,1,20
YY000101-251212-0088,JS000101-251212-0084,外卖区域.WM客位204262,,,,1,41.7,0.0,41.7,收银pos,001-收银,2025-12-12 20:06:51,否,1,20
YY000101-251212-0085,JS000101-251212-0083,外卖区域.WM客位204262,,,,1,50.8,0.0,50.8,收银pos,001-收银,2025-12-12 19:52:24,否,1,19
YY000101-251212-0083,JS000101-251212-0082,大厅.A05,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-12 19:41:40,否,0,19
YY000101-251212-0082,JS000101-251212-0081,外卖区域.WM客位204262,,,,1,54.7,0.0,54.7,收银pos,001-收银,2025-12-12 19:24:35,否,1,19
YY000101-251212-0081,JS000101-251212-0080,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-12 19:20:53,否,1,19
YY000101-251212-0080,JS000101-251212-0079,外卖区域.WM客位204262,,,,1,44.8,0.0,44.8,收银pos,001-收银,2025-12-12 19:16:37,否,1,19
YY000101-251212-0079,JS000101-251212-0078,大厅.A02,,,,1,26.0,0.0,26.0,收银pos,001-收银,2025-12-12 19:15:39,否,0,19
YY000101-251212-0078,JS000101-251212-0077,大厅.A03,,,,1,30.0,0.0,30.0,收银pos,001-收银,2025-12-12 19:03:49,否,0,19
YY000101-251212-0077,JS000101-251212-0076,外卖区域.WM客位204262,,,,1,37.1,0.0,37.1,收银pos,001-收银,2025-12-12 18:59:18,否,1,18
YY000101-251212-0074,JS000101-251212-0074,外卖区域.WM客位204262,,,,1,57.6,0.0,57.6,收银pos,001-收银,2025-12-12 18:48:32,否,1,18
YY000101-251212-0073,JS000101-251212-0073,外卖区域.WM客位204262,,,,1,30.7,0.0,30.7,收银pos,001-收银,2025-12-12 18:42:25,否,1,18
YY000101-251212-0072,JS000101-251212-0072,外卖区域.WM客位204262,,,,1,50.8,0.0,50.8,收银pos,001-收银,2025-12-12 18:31:50,否,1,18
YY000101-251212-0071,JS000101-251212-0071,外卖区域.WM客位204262,,,,1,58.7,0.0,58.7,收银pos,001-收银,2025-12-12 18:21:41,否,1,18
YY000101-251212-0070,JS000101-251212-0070,外卖区域.WM客位204262,,,,1,33.6,0.0,33.6,收银pos,001-收银,2025-12-12 18:20:07,否,1,18
YY000101-251212-0069,JS000101-251212-0069,外卖区域.WM客位204262,,,,1,57.6,0.0,57.6,收银pos,001-收银,2025-12-12 18:19:29,否,1,18
YY000101-251212-0065,JS000101-251212-0068,大厅.A04,,,,3,368.0,0.0,368.0,收银pos,001-收银,2025-12-12 18:06:16,否,0,18
YY000101-251212-0068,JS000101-251212-0067,外卖区域.WM客位204262,,,,1,38.8,0.0,38.8,收银pos,001-收银,2025-12-12 17:43:33,否,1,17
YY000101-251212-0067,JS000101-251212-0066,外卖区域.WM客位204262,,,,1,48.7,0.0,48.7,收银pos,001-收银,2025-12-12 17:42:05,否,1,17
YY000101-251212-0066,JS000101-251212-0065,外卖区域.WM客位204262,,,,1,41.3,0.0,41.3,收银pos,001-收银,2025-12-12 17:36:13,否,1,17
YY000101-251212-0064,JS000101-251212-0064,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-12 17:15:56,否,1,17
YY000101-251212-0063,JS000101-251212-0063,外卖区域.WM客位204262,,,,1,71.8,0.0,71.8,收银pos,001-收银,2025-12-12 17:12:26,否,1,17
YY000101-251212-0062,JS000101-251212-0062,外卖区域.WM客位204262,,,,1,40.7,0.0,40.7,收银pos,001-收银,2025-12-12 17:05:24,否,1,17
YY000101-251212-0061,JS000101-251212-0061,外卖区域.WM客位204262,,,,1,44.8,0.0,44.8,收银pos,001-收银,2025-12-12 16:16:22,否,1,16
YY000101-251212-0060,JS000101-251212-0060,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-12 15:53:04,否,1,15
YY000101-251212-0059,JS000101-251212-0059,外卖区域.WM客位204262,,,,1,63.3,0.0,63.3,收银pos,001-收银,2025-12-12 15:49:49,否,1,15
YY000101-251212-0058,JS000101-251212-0058,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-12 15:45:48,否,1,15
YY000101-251212-0057,JS000101-251212-0057,外卖区域.WM客位204262,,,,1,42.1,0.0,42.1,收银pos,001-收银,2025-12-12 15:27:58,否,1,15
YY000101-251212-0056,JS000101-251212-0056,大厅.A09,,,,1,34.0,0.0,34.0,收银pos,001-收银,2025-12-12 14:51:03,否,0,14
YY000101-251212-0052,JS000101-251212-0055,大厅.A07,,,,1,23.8,0.0,23.8,收银pos,001-收银,2025-12-12 14:37:08,否,0,14
YY000101-251212-0055,JS000101-251212-0054,外卖区域.WM客位204262,,,,1,37.7,0.0,37.7,收银pos,001-收银,2025-12-12 14:27:42,否,1,14
YY000101-251212-0054,JS000101-251212-0053,外卖区域.WM客位204262,,,,1,39.8,0.0,39.8,收银pos,001-收银,2025-12-12 14:18:12,否,1,14
YY000101-251212-0053,JS000101-251212-0052,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-12 14:14:58,否,1,14
YY000101-251212-0049,JS000101-251212-0051,大厅.A10,,,,2,16.0,0.0,16.0,收银pos,001-收银,2025-12-12 13:42:44,否,0,13
YY000101-251212-0050,JS000101-251212-0049,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-12 13:15:03,否,1,13
YY000101-251212-0046,JS000101-251212-0048,大厅.A03,,,,2,65.0,0.0,65.0,收银pos,001-收银,2025-12-12 13:09:45,否,0,13
YY000101-251212-0048,JS000101-251212-0047,大厅.A10,,,,2,47.6,0.0,47.6,收银pos,001-收银,2025-12-12 13:08:37,否,0,13
YY000101-251212-0047,JS000101-251212-0046,外卖区域.WM客位204262,,,,1,64.8,0.0,64.8,收银pos,001-收银,2025-12-12 12:58:25,否,1,12
YY000101-251212-0045,JS000101-251212-0045,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-12 12:42:02,否,1,12
YY000101-251212-0044,JS000101-251212-0044,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-12 12:37:00,否,1,12
YY000101-251212-0043,JS000101-251212-0043,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-12 12:34:00,否,1,12
